Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.19-224.0.0.251-5353-5353-17,192.168.10.19,5353.0,224.0.0.251,5353.0,17.0,6/7/2017 9:00,89501767.0,223.0,0.0,26257.0,0.0,219.0,45.0,117.7443946,63.99100551,0.0,0.0,0.0,0.0,293.3685097,2.491570921,403161.1126,2843991.635,32000000.0,1.0,89500000.0,403161.1126,2843991.635,32000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5762.0,0.0,2.491570921,0.0,45.0,219.0,118.1517857,64.1378434,4113.662956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.6816143,117.7443946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,26257.0,0.0,0.0,-1.0,-1.0,222.0,14.0,3044839.75,3594216.933,7003810.0,13.0,19300000.0,10100000.0,32000000.0,8008170.0,BENIGN
192.168.10.3-192.168.10.19-53-26610-17,192.168.10.19,26610.0,192.168.10.3,53.0,17.0,6/7/2017 9:00,167.0,2.0,2.0,64.0,158.0,32.0,32.0,32.0,0.0,79.0,79.0,79.0,0.0,1329341.317,23952.09581,55.66666667,93.82075108,164.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,64.0,64.0,11976.0479,11976.0479,32.0,79.0,50.8,25.7429602,662.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.5,32.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,158.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.19-88-41447-17,192.168.10.19,41447.0,192.168.10.3,88.0,17.0,6/7/2017 9:00,562.0,2.0,2.0,352.0,358.0,176.0,176.0,176.0,0.0,179.0,179.0,179.0,0.0,1263345.196,7117.437722,187.3333333,240.4669069,465.0,48.0,48.0,48.0,0.0,48.0,48.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,64.0,64.0,3558.718861,3558.718861,176.0,179.0,177.2,1.643167673,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221.5,176.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,352.0,2.0,358.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.19-53-24803-17,192.168.10.19,24803.0,192.168.10.3,53.0,17.0,6/7/2017 9:00,24079.0,2.0,2.0,78.0,206.0,39.0,39.0,39.0,0.0,103.0,103.0,103.0,0.0,11794.50974,166.1198555,8026.333333,13820.61074,23985.0,47.0,47.0,47.0,0.0,47.0,47.0,47.0,47.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,64.0,64.0,83.05992774,83.05992774,39.0,103.0,64.6,35.05424368,1228.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.75,39.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,2.0,206.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.19-53-49646-17,192.168.10.19,49646.0,192.168.10.3,53.0,17.0,6/7/2017 9:00,23744.0,2.0,2.0,64.0,160.0,32.0,32.0,32.0,0.0,80.0,80.0,80.0,0.0,9433.962264,168.4636119,7914.666667,13662.72397,23691.0,4.0,49.0,49.0,0.0,49.0,49.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,84.23180593,84.23180593,32.0,80.0,51.2,26.29068276,691.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,32.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,160.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.19-53-14284-17,192.168.10.19,14284.0,192.168.10.3,53.0,17.0,6/7/2017 9:00,163.0,2.0,2.0,64.0,158.0,32.0,32.0,32.0,0.0,79.0,79.0,79.0,0.0,1361963.19,24539.8773,54.33333333,92.37604307,161.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,64.0,64.0,12269.93865,12269.93865,32.0,79.0,50.8,25.7429602,662.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.5,32.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,158.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.12-53-54430-17,192.168.10.12,54430.0,192.168.10.3,53.0,17.0,6/7/2017 9:00,178.0,2.0,2.0,68.0,132.0,34.0,34.0,34.0,0.0,66.0,66.0,66.0,0.0,1123595.506,22471.91011,59.33333333,96.70746266,171.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,11235.95506,11235.95506,34.0,66.0,46.8,17.52712184,307.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.5,34.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,132.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.12-192.95.27.155-123-123-17,192.168.10.12,123.0,192.95.27.155,123.0,17.0,6/7/2017 9:01,73013762.0,8.0,8.0,384.0,384.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,10.51856498,0.21913677,4867584.133,15000000.0,59000000.0,16358.0,73000000.0,10400000.0,21400000.0,59000000.0,1989874.0,73000000.0,10400000.0,21400000.0,59000000.0,1989871.0,0.0,0.0,0.0,0.0,132.0,132.0,0.109568385,0.109568385,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,384.0,8.0,384.0,-1.0,-1.0,7.0,0.0,14000000.0,0.0,14000000.0,14000000.0,59000000.0,0.0,59000000.0,59000000.0,BENIGN
192.168.10.3-192.168.10.15-135-49412-6,192.168.10.15,49412.0,192.168.10.3,135.0,6.0,6/7/2017 9:01,23241857.0,23.0,14.0,2054.0,2128.0,168.0,0.0,89.30434783,82.66385094,268.0,0.0,152.0,78.54053339,179.9339872,1.59195541,645607.1389,2317541.899,11800000.0,3.0,23200000.0,1056448.045,2914956.272,11800000.0,3.0,11300000.0,872615.4615,2123884.063,5965294.0,3.0,0.0,0.0,0.0,0.0,484.0,304.0,0.989593904,0.602361507,0.0,268.0,110.0526316,86.55132749,7491.13229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,113.027027,89.30434783,152.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2054.0,14.0,2128.0,8192.0,2049.0,21.0,20.0,81819.5,32278.71745,104644.0,58995.0,5590125.5,446760.671,5906033.0,5274218.0,BENIGN
192.168.10.3-192.168.10.15-49666-49413-6,192.168.10.15,49413.0,192.168.10.3,49666.0,6.0,6/7/2017 9:01,53240519.0,49.0,46.0,17510.0,8170.0,1817.0,0.0,357.3469388,537.3990429,348.0,0.0,177.6086957,116.0788005,482.3394002,1.784355258,566388.5,4377618.372,41800000.0,1.0,53200000.0,1109177.479,6107740.368,41800000.0,1.0,11400000.0,252354.4444,1178942.229,5967109.0,3.0,0.0,0.0,0.0,0.0,1004.0,944.0,0.920351659,0.864003598,0.0,1817.0,267.5,401.4112211,161130.9684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,270.3157895,357.3469388,177.6086957,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17510.0,46.0,8170.0,8192.0,2052.0,47.0,20.0,80647.5,31551.81168,102958.0,58337.0,5590601.0,447017.3507,5906690.0,5274512.0,BENIGN
